Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.8026969481902059,0.6578947368421053,0.5347593582887701,0.5899705014749262,0.8445206541114468
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8412978893797307
Random Forest,0.7842441447835344,0.6223776223776224,0.47593582887700536,0.5393939393939394,0.8223010152677672
Support Vector Machine,0.7437899219304471,0.511504424778761,0.7727272727272727,0.6155484558040468,0.8210545351210313
Decision Tree,0.7281760113555713,0.4878048780487805,0.48128342245989303,0.4845222072678331,0.6495698674726806
